,0,1,2,3,4,5,6,7,8,9
0,0.6143664717674255,,,0.2597850561141968,,,,0.0424235537648201,0.0728895366191864,
0,,0.1463199257850647,0.16790015995502472,0.29486262798309326,0.03290130943059921,,,,0.14191311597824097,0.2103821486234665
0,0.2301131933927536,,0.05107495188713074,,,,0.7100548148155212,,,
0,,,,,0.7482774257659912,,0.2357131540775299,,,
0,,0.9249817728996277,,,,,,,,
0,,,,,0.16781635582447052,,0.5904642343521118,,0.22681306302547455,
0,0.25878235697746277,,,,0.03872164711356163,,0.24400265514850616,,0.44716668128967285,
0,,,,0.38980633020401,,,,0.33748358488082886,,0.24676837027072906
0,0.25319650769233704,0.2542039752006531,,0.26007017493247986,0.22197648882865906,,,,,
0,,0.13771837949752808,0.30193498730659485,0.012749976478517056,,0.04747225344181061,0.13412673771381378,,0.36370790004730225,
0,,,,,,0.27771520614624023,,,0.6376845836639404,0.07550130784511566
0,,,0.15509720146656036,0.2221989631652832,,,0.4570782482624054,,,0.15692228078842163
0,0.2703121304512024,0.3354191184043884,,,0.17266571521759033,0.0759158730506897,0.1409648358821869,,,
0,0.48570552468299866,,,,,,0.49918851256370544,,,
0,,,,0.05650654062628746,0.4168497920036316,0.2832752466201782,,0.23244604468345642,,
0,,,,,0.34987872838974,,,,0.6030459403991699,
0,0.19698011875152588,,0.20824722945690155,,0.2545883059501648,,,0.062134966254234314,0.26740431785583496,
0,0.06118100509047508,,,,0.08858146518468857,0.09391240030527115,0.5774459838867188,,,0.17318303883075714
0,0.018636981025338173,0.025227513164281845,,0.24547474086284637,,0.10234921425580978,,0.01383107341825962,0.3455132842063904,0.24769966304302216
0,,,0.23351004719734192,,0.18274204432964325,0.22375249862670898,,0.18200555443763733,0.07713451236486435,0.0969272330403328
0,0.214205801486969,,,,,,0.7572112679481506,,,
0,0.17428843677043915,,,,0.4952722191810608,,,,0.1939551830291748,0.11576075106859207
0,0.16802994906902313,0.06981807947158813,,0.5322558879852295,,0.10516608506441116,,,0.11956870555877686,
0,0.4035140573978424,,,0.12913519144058228,,0.22495755553245544,,,,0.23746800422668457
0,0.17549556493759155,,,0.016287434846162796,,0.013989911414682865,,,0.18281513452529907,0.6080731153488159
0,0.3844771981239319,0.17154614627361298,,0.2647571265697479,0.1742413491010666,,,,,
0,,,0.2546093165874481,,,0.18737618625164032,0.5405032634735107,,,
0,,0.38514211773872375,,,,0.11867157369852066,,,0.06815795600414276,0.42157113552093506
0,,,,0.4425320029258728,0.3625331223011017,0.18033286929130554,,,,
0,,,,0.07251138985157013,0.028292778879404068,0.21072040498256683,0.07723145186901093,,,0.6047416925430298
0,,0.5233120918273926,,0.22903138399124146,,,,,,0.23687918484210968
0,0.15001825988292694,,,0.4261585772037506,,0.24626517295837402,,,,0.16254813969135284
0,0.7577018737792969,,,,0.21728046238422394,,,,,
0,,,,,0.9399784803390503,,,,,
0,0.03500064089894295,0.024934906512498856,0.2640746533870697,0.10504814237356186,,0.3069065809249878,0.1297733038663864,,0.1326638013124466,
0,,,,0.0838928148150444,0.06084197014570236,0.5255393385887146,0.18183696269989014,,0.14443473517894745,
0,,,,,0.4426954984664917,,,,,0.5330555438995361
0,,,,,,,,0.3953576982021332,0.5625275373458862,
0,,,,,,0.15420567989349365,0.5833969116210938,,0.2477983832359314,
0,0.15595418214797974,0.15839748084545135,0.49828237295150757,,,0.12399667501449585,,,,0.05686545372009277
0,,,,0.22213652729988098,0.7278351187705994,,,,,
0,,,0.8174270391464233,,,,,,0.16746917366981506,
0,0.012504932470619678,0.01250398438423872,0.012502497993409634,0.012507480569183826,0.8874648213386536,0.012506015598773956,0.012502781115472317,0.012502544559538364,0.012502644211053848,0.012502316385507584
0,0.1225966289639473,,0.09248748421669006,,,0.3188384473323822,0.027739262208342552,0.041749536991119385,,0.3868621289730072
0,,0.08928204327821732,,0.6316946744918823,0.18787753582000732,0.08501594513654709,,,,
0,,,,0.2456192970275879,0.3642459213733673,,0.3489394187927246,,,
0,0.17830456793308258,0.1035458967089653,0.20724813640117645,0.18754780292510986,,,0.10846144706010818,,0.1092325821518898,0.10235894471406937
0,,,,,,,0.9437095522880554,,,
0,0.2907940745353699,,,0.6558541059494019,,,,,,
0,,0.20721150934696198,0.22934937477111816,,,,0.47450870275497437,,0.08267418295145035,
0,0.5947657227516174,0.020007925108075142,0.02000497840344906,0.24518150091171265,0.020008018240332603,0.02000817470252514,0.020005758851766586,0.02000659890472889,0.02000698819756508,0.020004352554678917
0,,0.4106943607330322,,,0.078718401491642,,,,,0.4953611493110657
0,0.3918115198612213,,,,0.2630804479122162,,,,,0.2984214425086975
0,0.1634601354598999,,,0.01798251084983349,0.1848616600036621,0.11613602936267853,0.3441890776157379,,,0.16973082721233368
0,0.16804900765419006,,0.27797743678092957,,,0.15232932567596436,,0.15161050856113434,,0.24377666413784027
0,0.21371670067310333,,,0.19188281893730164,0.35501888394355774,,0.02283797599375248,0.20896314084529877,,
0,,,,,,0.35575467348098755,,0.15501262247562408,,0.47549834847450256
0,,,0.1890448033809662,,0.25466296076774597,0.0732155367732048,,,,0.4751760959625244
0,,0.23714344203472137,0.6901018619537354,,,,,,,
0,,0.8053117990493774,,,,,,,,0.1841512769460678
0,0.12195440381765366,,,0.26060089468955994,,0.20609615743160248,,,0.33776524662971497,0.06395376473665237
0,0.07859988510608673,0.07497326284646988,0.0281895250082016,,0.16895423829555511,0.1576910763978958,0.18236131966114044,0.14354798197746277,0.08443538844585419,0.08079002052545547
0,,0.42968982458114624,,,,,,0.1778251975774765,0.38289201259613037,
0,0.3710445463657379,,,,,,0.5925846099853516,,,
0,,0.08341911435127258,0.022181091830134392,,,0.05174654722213745,0.2754901349544525,,,0.5611286759376526
0,,,,,0.36207079887390137,,0.17516201734542847,,0.25310516357421875,0.20042140781879425
0,,,0.06236543506383896,0.10549308359622955,0.04453235864639282,0.29035115242004395,0.2419760674238205,0.05701472610235214,0.014745306223630905,0.18238449096679688
0,0.5657729506492615,,0.058296315371990204,,,,,0.17432619631290436,,0.1925031989812851
0,,0.4547867476940155,,0.4271761476993561,,,,0.10725868493318558,,
0,0.5966806411743164,,0.17325188219547272,,,,,,,0.21338434517383575
0,0.035189274698495865,0.1997503787279129,,0.4027540385723114,0.0463985800743103,0.25269803404808044,,0.05664708837866783,,
0,,,0.15555305778980255,,0.4941129982471466,,0.3034886419773102,,,0.031048601493239403
0,,,0.24352748692035675,0.20677319169044495,0.3196772336959839,0.22363288700580597,,,,
0,0.21932575106620789,,,0.12596939504146576,0.08759813010692596,0.07527833431959152,,0.1909511834383011,0.14208276569843292,0.1565018743276596
0,0.1260637789964676,0.40046241879463196,0.2471173256635666,,0.2212679237127304,,,,,
0,,,,,,0.3682498633861542,,,,0.608167290687561
0,0.18088245391845703,0.6339126825332642,,,0.13691942393779755,0.035719744861125946,,,,
0,0.0351032055914402,,0.042950551956892014,0.3450755178928375,0.14609506726264954,0.2951681911945343,0.09207431972026825,,0.04206085950136185,
0,0.06553763896226883,,0.13642138242721558,0.10388023406267166,0.10865756869316101,,0.03645940497517586,0.3235316276550293,0.025011498481035233,0.1994740068912506
0,,0.6611320376396179,,,0.3228577673435211,,,,,
0,0.10355424880981445,0.13410235941410065,,,,0.18024477362632751,,0.09769735485315323,,0.47962936758995056
0,,0.7526393532752991,,,,0.18743503093719482,,0.05298431217670441,,
0,0.3009791374206543,,0.18442170321941376,,,,,0.24909467995166779,0.2604990303516388,
0,0.12661869823932648,0.011966696009039879,,,0.3174282908439636,,,0.38022908568382263,0.15750232338905334,
0,0.24485889077186584,,,,0.485499769449234,,,0.038448721170425415,0.21868515014648438,
0,0.18253402411937714,,0.12525133788585663,,0.3208620846271515,,,,0.3600223958492279,
0,,,0.2789166271686554,0.17933209240436554,,,,,0.2728489637374878,0.2577803432941437
0,0.33372175693511963,,,0.3368850648403168,0.16176708042621613,,,0.14761948585510254,,
0,,0.018044952303171158,0.5721126794815063,,0.21237318217754364,,,0.18966449797153473,,
0,,,,,0.8275099396705627,0.16105379164218903,,,,
0,,,0.06962136179208755,,,0.151788592338562,,0.24880778789520264,0.512127697467804,
0,0.043855953961610794,0.3732856214046478,,,0.2852395176887512,0.1318158209323883,,0.06365185976028442,0.09904796630144119,
0,0.1744193136692047,,,,0.47007057070732117,,0.15604865550994873,,0.19145742058753967,
0,,,,0.34260109066963196,0.6129426956176758,,,,,
0,,,,,0.6070302128791809,0.20772099494934082,,,,0.16680744290351868
0,,,,,0.9437407851219177,,,,,
0,,0.3739374876022339,,,0.19842609763145447,,,,0.25598862767219543,0.16466666758060455
0,,,0.2134196013212204,,0.6282235980033875,,0.12790755927562714,,,
0,,,,0.18698762357234955,,0.3270993232727051,0.10693034529685974,,0.3618277609348297,
0,0.6516203284263611,0.32551127672195435,,,,,,,,
0,,,0.38852325081825256,0.30144622921943665,0.043065689504146576,0.13189686834812164,,0.06851139664649963,,0.0634295865893364
0,0.5238019227981567,,,,,0.33688604831695557,,0.12996123731136322,,
0,0.3814416229724884,,,,,,,,0.19114325940608978,0.4125097990036011
0,0.28055381774902344,0.6936278939247131,,,,,,,,
0,,0.45341023802757263,0.13245895504951477,0.14185191690921783,0.11074288189411163,,,0.05377345532178879,,0.09749522805213928
